Source,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,reviewer1,reviewer2,Include?,Reason,broiler?,Marine,Aquatic,Fish,Chicken,Tadpoles,Hen,Penguin
Web of Science,"Enstipp, Manfred R.; Gremillet, David; Lorentsen, Svein-Hakon",Energetic costs of diving and thermal status in European shags (Phalacrocorax aristotelis).,2005,Journal of Experimental Biology,208,18,3451-3461,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Nieminen, Petter; Hohtola, Esa; Pyykonen, Teija; Paakkonen, Tommi; Aho, Jari; Cittova-Kontu, Martina; Asikainen, Juha; Mononen, Jaakko; Mustonen, Anne-Mari",Thermoregulatory adaptations of the overwintering captive raccoon dog (Nyctereutes procyonoides) in boreal climate.,2005,Journal of Experimental Zoology Part A Comparative Experimental Biology,303A,9,776-784,,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Fresh, Kurt L.; Casillas, Edmundo; Johnson, Lyndal L.; Bottom, Daniel L.",Role of the estuary in the recovery of Columbia River basin salmon and steelhead: an evaluation of the effects of selected factors on salmonid population viability.,2005,NOAA Technical Memorandum NMFS-NWFSC,69,,"i-xvi, 1-105",,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Ardia, Daniel R.",Cross-fostering reveals an effect of spleen size and nest temperatures on immune responses in nestling European starlings.,2005,Oecologia (Berlin),145,2,327-334,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Hofer, Josef; Korner-Nievergelt, Fraenzi; Korner-Nievergelt, Pius; Kestenholz, Matthias; Jenni, Lukas",Breeding range and migration pattern of tufted ducks Aythya fuligula wintering in Switzerland: an analysis of ringing recovery data.,2005,Ornithologische Beobachter,102,3,181-204,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Salinas-Melgoza, Alejandro; Renton, Katherine",Seasonal variation in activity patterns of juvenile lilac-crowned parrots in tropical dry forest.,2005,Wilson Bulletin,117,3,291-295,,"Salinas-Melgoza, Alejandro/0000-0003-2024-3061",,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Kvadsheim, Petter H.; Folkow, Lars P.; Blix, Arnoldus Schytte",Inhibition of shivering in hypothermic seals during diving.,2005,American Journal of Physiology Regulatory Integrative and Comparative Physiology,289,2,R326-R331,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Brown, Gregory P.; Shine, Richard","Nesting snakes (Tropidonophis mairii, Colubridae) selectively oviposit in sites that provide evidence of previous successful hatching.",2005,Canadian Journal of Zoology,83,8,1134-1137,,"Brown, Gregory/0000-0002-2924-9040",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Welsh, Hartwell H., Jr; Hodgson, Garth R.; Lind, Amy J.",Ecogeography of the herpetofauna of a northern California watershed: linking species patterns to landscape processes.,2005,Ecography,28,4,521-536,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Cooper, Caren B.; Hochachka, Wesley M.; Butcher, Greg; Dhondt, Andre A.",Seasonal and latitudinal trends in clutch size: Thermal constraints during laying and incubation.,2005,Ecology (Washington D C),86,8,2018-2031,,"Hochachka, Wesley/0000-0002-0595-7827; Dhondt, Andre/0000-0002-4946-1401",,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Beissinger, Steven R.; Cook, Mark I.; Arendt, Wayne J.",The shelf life of bird eggs: Testing egg viability using a tropical climate gradient.,2005,Ecology (Washington D C),86,8,2164-2175,,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Johnson, Catherine S.; Schwarzbach, Steven E.; Henderson, John D.; Wilson, Barry W.; Tjeerdema, Ronald S.",Influence of water temperature on acetylcholinesterase activity in the pacific tree frog (Hyla regilla).,2005,Environmental Toxicology and Chemistry,24,8,2074-2077,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"McCafferty, D.J.; Moss, S.; Bennett, K.; Pomeroy, P.P.",Factors influencing the radiative surface temperature of grey seal (Halichoerus grypus) pups during early and late lactation.,2005,Journal of Comparative Physiology B Biochemical Systemic and Environmental Physiology,175,6,423-431,,"Bennett, Kimberley/0000-0003-2168-6112",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Fuller, Andrea; Kamerman, Peter R.; Maloney, Shane K.; Matthee, Andre; Mitchell, Graham; Mitchell, Duncan",A year in the thermal life of a free-ranging herd of springbok Antidorcas marsupialis.,2005,Journal of Experimental Biology,208,15,2855-2864,,"Kamerman, Peter/0000-0002-3103-5295; Fuller, Andrea/0000-0001-6370-8151",,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Ferrara, Francesca J.; Leberg, Paul L.",Characteristics of positions selected by day-roosting bats under bridges in Louisiana.,2005,Journal of Mammalogy,86,4,729-735,,,,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"D'Eon, Robert G.; Serrouya, Robert",Mule deer seasonal movements and multiscale resource selection using global positioning system radiotelemetry.,2005,Journal of Mammalogy,86,4,736-744,,,,A,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Li, Xing-Sheng; Wang, De-Hua",Suppression of thermogenic capacity during reproduction in primiparous Brandt's voles (Microtus brandtii).,2005,Journal of Thermal Biology,30,6,431-436,,,,D,A,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Kiefer, Mara C.; Van Sluys, Monique; Rocha, Carlos F.D.","Body temperatures of Tropidurus torquatus (Squamata, Tropiduridae) from coastal populations: Do body temperatures vary along their geographic range?",2005,Journal of Thermal Biology,30,6,449-456,,"Rocha, Carlos Frederico/0000-0003-3000-1242; ",,D,C,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Web of Science,"Joemann, Norbert; Clemen, Guenter; Greven, Hartmut","Notes on cranial ontogeny and delayed metamorphosis in the hynobiid salamander Ranodon sibiricus Kessler, 1866 (Urodela).",2005,Annals of Anatomy,187,3,305-321,,,,C,D,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
